First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Kelvin,Ransey,G,Regular Season,(1980-81),(1985-86),474,166,"11,586","2,207","4,862",45%,20,152,13%,946,"1,209",78%,227,674,901,"2,480",472,34,958,923,"5,380",,---,---,24.44,4.66,10.26,45%,0.04,0.32,13%,2.00,2.55,78%,0.48,1.42,1.90,5.23,1.00,0.07,2.02,1.95,11.35
Sam,Ranzino,G,Regular Season,(1951-52),(1951-52),39,---,234,30,90,33%,---,---,---,26,37,70%,---,---,39,25,---,---,---,63,86,,---,---,6.00,0.77,2.31,33%,---,---,---,0.67,0.95,70%,---,---,1.00,0.64,---,---,---,1.62,2.21
Blair,Rasmussen,C,Regular Season,(1985-86),(1992-93),532,282,"11,409","2,248","4,767",47%,9,35,26%,614,801,77%,913,"2,093","3,006",467,210,484,460,"1,623","5,119",,---,---,21.45,4.23,8.96,47%,0.02,0.07,26%,1.15,1.51,77%,1.72,3.93,5.65,0.88,0.39,0.91,0.86,3.05,9.62
Xavier,Rathan-Mayes,G,Regular Season,(2017-18),(2017-18),5,0,118,12,42,29%,1,14,7%,4,9,44%,0,5,5,18,6,3,11,18,29,,---,---,23.60,2.40,8.40,29%,0.20,2.80,7%,0.80,1.80,44%,0.00,1.00,1.00,3.60,1.20,0.60,2.20,3.60,5.80
George,Ratkovicz,C-F,Regular Season,(1949-50),(1954-55),343,---,"5,863",999,"2,687",37%,---,---,---,"1,143","1,698",67%,---,---,"1,937",791,---,---,---,"1,249","3,141",,---,---,17.09,2.91,7.83,37%,---,---,---,3.33,4.95,67%,---,---,5.65,2.31,---,---,---,3.64,9.16
Ed,Ratleff,F-G,Regular Season,(1973-74),(1977-78),338,,"8,433","1,160","2,554",45%,---,---,---,493,614,80%,465,898,"1,363",896,430,143,67,801,"2,813",,---,---,24.95,3.43,7.56,45%,---,---,---,1.46,1.82,80%,1.38,2.66,4.03,2.65,1.27,0.42,0.20,2.37,8.32
Theo,Ratliff,C-F,Regular Season,(1995-96),(2010-11),810,533,"20,500","2,207","4,451",50%,0,2,0%,"1,395","1,965",71%,"1,543","3,053","4,596",465,393,"1,968","1,001","2,288","5,809",,---,---,25.31,2.72,5.50,50%,0.00,0.00,0%,1.72,2.43,71%,1.90,3.77,5.67,0.57,0.49,2.43,1.24,2.82,7.17
Mike,Ratliff,C,Regular Season,(1972-73),(1973-74),60,,685,98,235,42%,---,---,---,45,84,54%,0,0,194,38,0,0,---,111,241,,---,---,11.42,1.63,3.92,42%,---,---,---,0.75,1.40,54%,0.00,0.00,3.23,0.63,0.00,0.00,---,1.85,4.02
Andy,Rautins,G,Regular Season,(2010-11),(2010-11),5,0,24,3,7,43%,1,4,25%,1,2,50%,0,1,1,3,1,0,7,0,8,,---,---,4.80,0.60,1.40,43%,0.20,0.80,25%,0.20,0.40,50%,0.00,0.20,0.20,0.60,0.20,0.00,1.40,0.00,1.60
Leo,Rautins,F,Regular Season,(1983-84),(1984-85),32,3,208,21,60,35%,0,0,,6,10,60%,10,25,35,32,9,2,20,34,48,,---,---,6.50,0.66,1.88,35%,0.00,0.00,,0.19,0.31,60%,0.31,0.78,1.09,1.00,0.28,0.06,0.63,1.06,1.50
Allan,Ray,G,Regular Season,(2006-07),(2006-07),47,5,710,100,259,39%,48,116,41%,42,55,76%,18,51,69,43,20,3,42,85,290,,---,---,15.11,2.13,5.51,39%,1.02,2.47,41%,0.89,1.17,76%,0.38,1.09,1.47,0.91,0.43,0.06,0.89,1.81,6.17
James,Ray,F,Regular Season,(1980-81),(1982-83),103,7,843,136,318,43%,1,3,33%,61,97,63%,68,160,228,76,38,39,100,173,334,,---,---,8.18,1.32,3.09,43%,0.01,0.03,33%,0.59,0.94,63%,0.66,1.55,2.21,0.74,0.37,0.38,0.97,1.68,3.24
Clifford,Ray,C,Regular Season,(1971-72),(1980-81),784,,"19,940","2,333","4,450",52%,0,2,0%,"1,155","1,963",59%,"1,657","3,630","6,953","1,728",501,638,532,"2,618","5,821",,---,---,25.43,2.98,5.68,52%,0.00,0.00,0%,1.47,2.50,59%,2.11,4.63,8.87,2.20,0.64,0.81,0.68,3.34,7.42
Jim,Ray,G,Regular Season,(1956-57),(1959-60),8,---,64,3,17,18%,---,---,---,3,5,60%,---,---,5,5,---,---,---,7,9,,---,---,8.00,0.38,2.13,18%,---,---,---,0.38,0.63,60%,---,---,0.63,0.63,---,---,---,0.88,1.13
Don,Ray,F-C,Regular Season,(1949-50),(1949-50),61,---,---,130,403,32%,---,---,---,104,149,70%,---,---,---,60,---,---,---,147,364,,---,---,---,2.13,6.61,32%,---,---,---,1.70,2.44,70%,---,---,---,0.98,---,---,---,2.41,5.97
Craig,Raymond,C,Regular Season,(1968-69),(1968-69),27,---,177,22,64,34%,---,---,---,11,17,65%,---,---,68,8,---,---,---,46,55,,---,---,6.56,0.81,2.37,34%,---,---,---,0.41,0.63,65%,---,---,2.52,0.30,---,---,---,1.70,2.04
Connie,Rea,G-F,Regular Season,(1953-54),(1953-54),20,---,154,9,43,21%,---,---,---,5,16,31%,---,---,31,16,---,---,---,13,23,,---,---,7.70,0.45,2.15,21%,---,---,---,0.25,0.80,31%,---,---,1.55,0.80,---,---,---,0.65,1.15
Josh,Reaves,G,Regular Season,(2019-20),(2019-20),4,0,28,3,9,33%,0,2,0%,2,2,100%,1,2,3,3,0,0,0,5,8,,---,---,7.00,0.75,2.25,33%,0.00,0.50,0%,0.50,0.50,100%,0.25,0.50,0.75,0.75,0.00,0.00,0.00,1.25,2.00
Joe,Reaves,F,Regular Season,(1973-74),(1973-74),7,,38,6,11,55%,---,---,---,4,11,36%,2,6,8,1,0,2,---,6,16,,---,---,5.43,0.86,1.57,55%,---,---,---,0.57,1.57,36%,0.29,0.86,1.14,0.14,0.00,0.29,---,0.86,2.29
Zeljko,Rebraca,C,Regular Season,(2001-02),(2005-06),215,22,"3,280",488,926,53%,0,0,,300,379,79%,196,492,688,88,57,160,203,512,"1,276",,---,---,15.26,2.27,4.31,53%,0.00,0.00,,1.40,1.76,79%,0.91,2.29,3.20,0.41,0.27,0.74,0.94,2.38,5.93
Eldridge,Recasner,G,Regular Season,(1994-95),(2001-02),296,47,"5,121",629,"1,478",43%,239,584,41%,235,265,89%,131,403,534,522,129,12,305,403,"1,732",,---,---,17.30,2.13,4.99,43%,0.81,1.97,41%,0.79,0.90,89%,0.44,1.36,1.80,1.76,0.44,0.04,1.03,1.36,5.85
Michael,Redd,G,Regular Season,(2000-01),(2011-12),629,429,"20,104","4,207","9,405",45%,"1,045","2,751",38%,"2,513","2,998",84%,622,"1,789","2,411","1,338",579,66,963,"1,002","11,972",,---,---,31.96,6.69,14.95,45%,1.66,4.37,38%,4.00,4.77,84%,0.99,2.84,3.83,2.13,0.92,0.10,1.53,1.59,19.03
Cam,Reddish,F,Regular Season,(2019-20),(2019-20),58,34,"1,551",213,554,38%,83,250,33%,101,126,80%,35,181,216,87,62,28,96,132,610,,---,---,26.74,3.67,9.55,38%,1.43,4.31,33%,1.74,2.17,80%,0.60,3.12,3.72,1.50,1.07,0.48,1.66,2.28,10.52
Frank,Reddout,F,Regular Season,(1953-54),(1953-54),7,---,18,5,6,83%,---,---,---,3,4,75%,---,---,9,0,---,---,---,6,13,,---,---,2.57,0.71,0.86,83%,---,---,---,0.43,0.57,75%,---,---,1.29,0.00,---,---,---,0.86,1.86
J.J.,Redick,G,Regular Season,(2006-07),(2019-20),896,488,"23,241","3,903","8,709",45%,"1,884","4,526",42%,"2,011","2,258",89%,168,"1,671","1,839","1,811",410,85,"1,004","1,367","11,701",,---,---,25.94,4.36,9.72,45%,2.10,5.05,42%,2.24,2.52,89%,0.19,1.86,2.05,2.02,0.46,0.09,1.12,1.53,13.06
Marlon,Redmond,G,Regular Season,(1978-79),(1979-80),77,,"1,057",222,525,42%,0,9,0%,55,84,65%,75,86,161,77,32,25,76,123,499,,---,---,13.73,2.88,6.82,42%,0.00,0.12,0%,0.71,1.09,65%,0.97,1.12,2.09,1.00,0.42,0.32,0.99,1.60,6.48
Davon,Reed,G,Regular Season,(2017-18),(2018-19),31,1,289,27,88,31%,13,42,31%,8,12,67%,4,41,45,16,11,2,11,20,75,,---,---,9.32,0.87,2.84,31%,0.42,1.35,31%,0.38,0.57,67%,0.13,1.32,1.45,0.52,0.35,0.06,0.35,0.65,2.42
Willie,Reed,F,Regular Season,(2015-16),(2017-18),152,12,"1,885",319,539,59%,2,7,29%,111,198,56%,213,362,575,46,33,100,66,240,751,,---,---,12.40,2.10,3.55,59%,0.01,0.05,29%,0.73,1.30,56%,1.40,2.38,3.78,0.30,0.22,0.66,0.43,1.58,4.94
Justin,Reed,F,Regular Season,(2004-05),(2006-07),136,9,"1,436",174,431,40%,0,4,0%,124,165,75%,76,110,186,68,31,19,79,219,472,,---,---,10.56,1.28,3.17,40%,0.00,0.03,0%,0.91,1.21,75%,0.56,0.81,1.37,0.50,0.23,0.14,0.58,1.61,3.47
Willis,Reed,C-F,Regular Season,(1964-65),(1973-74),650,,"23,073","4,859","10,202",48%,---,---,---,"2,465","3,298",75%,47,94,"8,414","1,186",12,21,---,"2,411","12,183",,---,---,35.50,7.48,15.70,48%,---,---,---,3.79,5.07,75%,0.07,0.14,12.94,1.82,0.02,0.03,---,3.71,18.74
Ron,Reed,F,Regular Season,(1965-66),(1966-67),119,---,"2,245",409,"1,124",36%,---,---,---,133,233,57%,---,---,762,173,---,---,---,278,951,,---,---,18.87,3.44,9.45,36%,---,---,---,1.12,1.96,57%,---,---,6.40,1.45,---,---,---,2.34,7.99
Hub,Reed,C-F,Regular Season,(1958-59),(1964-65),479,---,"7,870","1,081","2,481",44%,---,---,---,456,630,72%,---,---,"2,449",367,---,---,---,"1,337","2,618",,---,---,16.43,2.26,5.18,44%,---,---,---,0.95,1.32,72%,---,---,5.11,0.77,---,---,---,2.79,5.47
Bryant,Reeves,C,Regular Season,(1995-96),(2000-01),395,341,"12,071","1,999","4,208",48%,2,27,7%,945,"1,345",70%,856,"1,889","2,745",623,200,302,744,"1,365","4,945",,---,---,30.56,5.06,10.65,48%,0.01,0.07,7%,2.39,3.41,70%,2.17,4.78,6.95,1.58,0.51,0.76,1.88,3.46,12.52
Khalid,Reeves,G,Regular Season,(1994-95),(1999-00),277,113,"5,837",744,"1,788",42%,235,647,36%,444,597,74%,163,417,580,886,234,32,446,629,"2,167",,---,---,21.07,2.69,6.45,42%,0.85,2.34,36%,1.60,2.16,74%,0.59,1.51,2.09,3.20,0.84,0.12,1.61,2.27,7.82
Richie,Regan,G,Regular Season,(1955-56),(1957-58),215,---,"5,494",699,"2,030",34%,---,---,---,387,540,72%,---,---,554,629,---,---,---,532,"1,785",,---,---,25.55,3.25,9.44,34%,---,---,---,1.80,2.51,72%,---,---,2.58,2.93,---,---,---,2.47,8.30
Don,Rehfeldt,F,Regular Season,(1950-51),(1951-52),98,---,788,263,711,37%,---,---,---,166,219,76%,---,---,494,118,---,---,---,248,692,,---,---,8.04,2.68,7.26,37%,---,---,---,1.69,2.23,76%,---,---,5.04,1.20,---,---,---,2.53,7.06
Naz,Reid,C,Regular Season,(2019-20),(2019-20),30,11,495,100,243,41%,32,97,33%,37,53,70%,34,90,124,35,19,22,22,83,269,,---,---,16.50,3.33,8.10,41%,1.07,3.23,33%,1.23,1.77,70%,1.13,3.00,4.13,1.17,0.63,0.73,0.73,2.77,8.97
Ryan,Reid,F,Regular Season,(2011-12),(2011-12),5,0,17,4,5,80%,0,0,,0,0,,1,1,2,0,0,0,1,1,8,,---,---,3.40,0.80,1.00,80%,0.00,0.00,,0.00,0.00,,0.20,0.20,0.40,0.00,0.00,0.00,0.20,0.20,1.60
Don,Reid,F,Regular Season,(1995-96),(2002-03),403,149,"5,374",583,"1,099",53%,0,1,0%,288,438,66%,437,732,"1,169",143,182,282,253,"1,135","1,454",,---,---,13.33,1.45,2.73,53%,0.00,0.00,0%,0.71,1.09,66%,1.08,1.82,2.90,0.35,0.45,0.70,0.63,2.82,3.61
J.R.,Reid,F,Regular Season,(1989-90),(2000-01),672,297,"15,370","2,168","4,594",47%,5,37,14%,"1,339","1,869",72%,"1,004","2,377","3,381",639,514,264,947,"1,977","5,680",,---,---,22.87,3.23,6.84,47%,0.01,0.06,14%,1.99,2.78,72%,1.49,3.54,5.03,0.95,0.76,0.39,1.41,2.94,8.45
Robert,Reid,F-G,Regular Season,(1977-78),(1990-91),919,284,"25,109","4,443","9,706",46%,103,354,29%,"1,459","1,992",73%,"1,167","3,001","4,168","2,500",973,403,"1,319","2,893","10,448",,---,---,27.32,4.83,10.56,46%,0.11,0.39,29%,1.59,2.17,73%,1.27,3.27,4.54,2.72,1.06,0.44,1.44,3.15,11.37
Billy,Reid,G,Regular Season,(1980-81),(1980-81),59,,597,84,185,45%,0,5,0%,22,39,56%,27,33,60,71,33,5,78,111,190,,---,---,10.12,1.42,3.14,45%,0.00,0.08,0%,0.37,0.66,56%,0.46,0.56,1.02,1.20,0.56,0.08,1.32,1.88,3.22
Jim,Reid,F,Regular Season,(1967-68),(1967-68),6,---,52,10,20,50%,---,---,---,1,5,20%,---,---,11,3,---,---,---,6,21,,---,---,8.67,1.67,3.33,50%,---,---,---,0.17,0.83,20%,---,---,1.83,0.50,---,---,---,1.00,3.50
Jared,Reiner,C,Regular Season,(2004-05),(2006-07),46,4,376,25,73,34%,0,0,,4,14,29%,34,75,109,14,8,13,23,80,54,,---,---,8.17,0.54,1.59,34%,0.00,0.00,,0.09,0.30,29%,0.74,1.63,2.37,0.30,0.17,0.28,0.50,1.74,1.17
Chick,Reiser,G-F,Regular Season,(1947-48),(1949-50),171,---,---,618,"1,927",32%,---,---,---,537,696,77%,---,---,---,346,---,---,---,600,"1,773",,---,---,---,3.61,11.27,32%,---,---,---,3.14,4.07,77%,---,---,---,2.02,---,---,---,3.51,10.37
Richard,Rellford,F,Regular Season,(1987-88),(1987-88),4,0,42,5,8,63%,0,0,,6,8,75%,2,5,7,1,0,3,4,3,16,,---,---,10.50,1.25,2.00,63%,0.00,0.00,,1.50,2.00,75%,0.50,1.25,1.75,0.25,0.00,0.75,1.00,0.75,4.00
Terrence,Rencher,G,Regular Season,(1995-96),(1995-96),36,1,405,33,100,33%,9,29,31%,31,46,67%,9,35,44,54,16,2,43,37,106,,---,---,11.25,0.92,2.78,33%,0.25,0.81,31%,0.86,1.28,67%,0.25,0.97,1.22,1.50,0.44,0.06,1.19,1.03,2.94
John,Rennicke,G,Regular Season,(1951-52),(1951-52),6,---,54,4,18,22%,---,---,---,3,9,33%,---,---,9,1,---,---,---,7,11,,---,---,9.00,0.67,3.00,22%,---,---,---,0.50,1.50,33%,---,---,1.50,0.17,---,---,---,1.17,1.83
Bob,Rensberger,F,Regular Season,(1946-47),(1946-47),3,---,---,0,7,0%,---,---,---,0,0,,---,---,---,0,---,---,---,4,0,,---,---,---,0.00,2.33,0%,---,---,---,0.00,0.00,,---,---,---,0.00,---,---,---,1.33,0.00
Efthimi,Rentzias,C,Regular Season,(2002-03),(2002-03),35,0,144,20,59,34%,4,8,50%,8,9,89%,10,16,26,7,6,2,4,21,52,,---,---,4.11,0.57,1.69,34%,0.11,0.23,50%,0.23,0.26,89%,0.29,0.46,0.74,0.20,0.17,0.06,0.11,0.60,1.49
Shawn,Respert,G,Regular Season,(1995-96),(1998-99),172,5,"2,350",315,760,41%,97,285,34%,124,152,82%,81,145,226,177,91,7,125,192,851,,---,---,13.66,1.83,4.42,41%,0.56,1.66,34%,0.72,0.88,82%,0.47,0.84,1.31,1.03,0.53,0.04,0.73,1.12,4.95
Kevin,Restani,F-C,Regular Season,(1974-75),(1981-82),550,0,"10,114","1,522","3,134",49%,8,39,21%,334,466,72%,756,"1,450","2,206",747,221,111,330,966,"3,386",,---,---,18.39,2.77,5.70,49%,0.01,0.07,21%,0.61,0.85,72%,1.37,2.64,4.01,1.36,0.40,0.20,0.60,1.76,6.16
Cameron,Reynolds,G,Regular Season,(2018-19),(2018-19),19,0,259,33,78,42%,21,51,41%,8,9,89%,4,27,31,13,6,2,5,26,95,,---,---,13.63,1.74,4.11,42%,1.11,2.68,41%,0.42,0.47,89%,0.21,1.42,1.63,0.68,0.32,0.11,0.26,1.37,5.00
Jerry,Reynolds,G-F,Regular Season,(1985-86),(1995-96),443,118,"8,379","1,420","3,399",42%,28,124,23%,"1,168","1,560",75%,467,850,"1,317",904,486,250,718,677,"4,036",,---,---,18.91,3.21,7.67,42%,0.06,0.28,23%,2.64,3.52,75%,1.05,1.92,2.97,2.04,1.10,0.56,1.62,1.53,9.11
George,Reynolds,G,Regular Season,(1969-70),(1969-70),10,---,44,8,19,42%,---,---,---,5,7,71%,---,---,14,12,---,---,---,10,21,,---,---,4.40,0.80,1.90,42%,---,---,---,0.50,0.70,71%,---,---,1.40,1.20,---,---,---,1.00,2.10
Rodrick,Rhodes,G-F,Regular Season,(1997-98),(1999-00),72,14,"1,234",125,360,35%,3,15,20%,127,205,62%,38,50,88,121,69,12,119,146,380,,---,---,17.14,1.74,5.00,35%,0.04,0.21,20%,1.76,2.85,62%,0.53,0.69,1.22,1.68,0.96,0.17,1.65,2.03,5.28
Gene,Rhodes,G,Regular Season,(1952-53),(1952-53),65,---,"1,162",109,342,32%,---,---,---,119,169,70%,---,---,98,91,---,---,---,78,337,,---,---,17.88,1.68,5.26,32%,---,---,---,1.83,2.60,70%,---,---,1.51,1.40,---,---,---,1.20,5.18
Glen Jr.,Rice,G,Regular Season,(2013-14),(2014-15),16,1,152,14,52,27%,6,24,25%,9,13,69%,6,18,24,9,6,1,11,18,43,,---,---,9.50,0.88,3.25,27%,0.38,1.50,25%,0.56,0.81,69%,0.38,1.13,1.50,0.56,0.38,0.06,0.69,1.13,2.69
Glen,Rice,F,Regular Season,(1989-90),(2003-04),"1,000",876,"34,985","6,776","14,867",46%,"1,559","3,896",40%,"3,225","3,813",85%,946,"3,441","4,387","2,097",958,265,"1,733","2,361","18,336",,---,---,34.99,6.78,14.87,46%,1.56,3.90,40%,3.23,3.81,85%,0.95,3.44,4.39,2.10,0.96,0.27,1.73,2.36,18.34
Chris,Richard,F,Regular Season,(2007-08),(2009-10),70,3,780,56,116,48%,0,0,,23,38,61%,71,123,194,25,18,16,38,133,135,,---,---,11.14,0.80,1.66,48%,0.00,0.00,,0.33,0.54,61%,1.01,1.76,2.77,0.36,0.26,0.23,0.54,1.90,1.93
Josh,Richardson,G,Regular Season,(2015-16),(2019-20),314,243,"9,642","1,425","3,342",43%,504,"1,387",36%,535,654,82%,220,777,997,903,348,210,457,774,"3,889",,---,---,30.71,4.54,10.64,43%,1.61,4.42,36%,1.70,2.08,82%,0.70,2.47,3.18,2.88,1.11,0.67,1.46,2.46,12.39
Malachi,Richardson,G,Regular Season,(2016-17),(2018-19),70,4,625,67,187,36%,28,93,30%,36,46,78%,10,60,70,24,16,2,26,63,198,,---,---,8.93,0.96,2.67,36%,0.40,1.33,30%,0.51,0.66,78%,0.14,0.86,1.00,0.34,0.23,0.03,0.37,0.90,2.83
Jason,Richardson,G,Regular Season,(2001-02),(2014-15),857,842,"29,241","5,558","12,681",44%,"1,608","4,344",37%,"1,920","2,714",71%,"1,033","3,212","4,245","2,284",995,367,"1,503","1,963","14,644",,---,---,34.12,6.49,14.80,44%,1.88,5.07,37%,2.24,3.17,71%,1.21,3.75,4.95,2.67,1.16,0.43,1.75,2.29,17.09
Quentin,Richardson,G,Regular Season,(2000-01),(2012-13),783,486,"20,785","2,923","7,360",40%,"1,167","3,288",35%,"1,019","1,420",72%,933,"2,733","3,666","1,138",607,148,868,"1,529","8,032",,---,---,26.55,3.73,9.40,40%,1.49,4.20,35%,1.30,1.81,72%,1.19,3.49,4.68,1.45,0.78,0.19,1.11,1.95,10.26
Jeremy,Richardson,G-F,Regular Season,(2006-07),(2008-09),45,1,245,33,99,33%,15,39,38%,5,8,63%,3,22,25,5,4,0,10,21,86,,---,---,5.44,0.73,2.20,33%,0.33,0.87,38%,0.11,0.18,63%,0.07,0.49,0.56,0.11,0.09,0.00,0.22,0.47,1.91
Norm,Richardson,G,Regular Season,(2001-02),(2001-02),11,0,67,10,26,38%,4,8,50%,6,9,67%,3,5,8,2,0,0,3,5,30,,---,---,6.09,0.91,2.36,38%,0.36,0.73,50%,0.55,0.82,67%,0.27,0.45,0.73,0.18,0.00,0.00,0.27,0.45,2.73
Pooh,Richardson,G,Regular Season,(1989-90),(1998-99),639,483,"19,399","3,046","6,867",44%,358,"1,087",33%,633,971,65%,435,"1,372","1,807","4,180",817,111,"1,165","1,129","7,083",,---,---,30.36,4.77,10.75,44%,0.56,1.70,33%,0.99,1.52,65%,0.68,2.15,2.83,6.54,1.28,0.17,1.82,1.77,11.08
Clint,Richardson,G,Regular Season,(1979-80),(1986-87),586,108,"11,818","1,742","3,761",46%,11,45,24%,589,765,77%,533,845,"1,378","1,461",360,105,751,"1,019","4,084",,---,---,20.17,2.97,6.42,46%,0.02,0.08,24%,1.01,1.31,77%,0.91,1.44,2.35,2.49,0.61,0.18,1.28,1.74,6.97
Micheal Ray,Richardson,G-F,Regular Season,(1978-79),(1985-86),556,276,"18,589","3,419","7,479",46%,124,564,22%,"1,291","1,870",69%,981,"2,075","3,056","3,899","1,463",206,"1,854","1,859","8,253",,---,---,33.43,6.15,13.45,46%,0.22,1.01,22%,2.32,3.36,69%,1.76,3.73,5.50,7.01,2.63,0.37,3.33,3.34,14.84
Mitch,Richmond,G,Regular Season,(1988-89),(2001-02),976,902,"34,309","7,305","16,038",46%,"1,326","3,417",39%,"4,561","5,365",85%,881,"2,920","3,801","3,398","1,211",254,"2,579","2,503","20,497",,---,---,35.15,7.48,16.43,46%,1.36,3.50,39%,4.67,5.50,85%,0.90,2.99,3.89,3.48,1.24,0.26,2.64,2.56,21.00
John,Richter,F,Regular Season,(1959-60),(1959-60),66,---,808,113,332,34%,---,---,---,59,117,50%,---,---,312,27,---,---,---,158,285,,---,---,12.24,1.71,5.03,34%,---,---,---,0.89,1.77,50%,---,---,4.73,0.41,---,---,---,2.39,4.32
Dick,Ricketts,F-C,Regular Season,(1955-56),(1957-58),212,---,"5,677",749,"2,285",33%,---,---,---,476,688,69%,---,---,"1,337",447,---,---,---,871,"1,974",,---,---,26.78,3.53,10.78,33%,---,---,---,2.25,3.25,69%,---,---,6.31,2.11,---,---,---,4.11,9.31
Isaiah,Rider,G,Regular Season,(1993-94),(2001-02),563,424,"17,851","3,583","8,085",44%,667,"1,896",35%,"1,572","1,935",81%,676,"1,490","2,166","1,535",367,136,"1,425","1,327","9,405",,---,---,31.71,6.36,14.36,44%,1.18,3.37,35%,2.79,3.44,81%,1.20,2.65,3.85,2.73,0.65,0.24,2.53,2.36,16.71
Jackie,Ridgle,G,Regular Season,(1971-72),(1971-72),32,,107,19,44,43%,---,---,---,19,26,73%,---,---,15,7,---,---,---,15,57,,---,---,3.34,0.59,1.38,43%,---,---,---,0.59,0.81,73%,---,---,0.47,0.22,---,---,---,0.47,1.78
Luke,Ridnour,G,Regular Season,(2003-04),(2014-15),830,493,"21,623","2,933","6,803",43%,584,"1,674",35%,"1,290","1,496",86%,363,"1,514","1,877","3,713",814,161,"1,349","1,779","7,740",,---,---,26.05,3.53,8.20,43%,0.70,2.02,35%,1.55,1.80,86%,0.44,1.82,2.26,4.47,0.98,0.19,1.63,2.14,9.33
Mel,Riebe,G-F,Regular Season,(1946-47),(1948-49),146,---,---,650,"2,140",30%,---,---,---,275,443,62%,---,---,---,212,---,---,---,416,"1,575",,---,---,---,4.45,14.66,30%,---,---,---,1.88,3.03,62%,---,---,---,1.45,---,---,---,2.85,10.79
Jim,Riffey,F,Regular Season,(1950-51),(1950-51),35,---,---,65,185,35%,---,---,---,20,26,77%,---,---,61,16,---,---,---,54,150,,---,---,---,1.86,5.29,35%,---,---,---,0.57,0.74,77%,---,---,1.74,0.46,---,---,---,1.54,4.29
Antoine,Rigaudeau,G,Regular Season,(2002-03),(2002-03),11,0,91,8,35,23%,1,5,20%,0,0,,4,4,8,6,3,0,6,11,17,,---,---,8.27,0.73,3.18,23%,0.09,0.45,20%,0.00,0.00,,0.36,0.36,0.73,0.55,0.27,0.00,0.55,1.00,1.55
Tom,Riker,C-F,Regular Season,(1972-73),(1974-75),82,,605,76,200,38%,---,---,---,73,123,59%,49,73,138,24,15,5,---,85,225,,---,---,7.38,0.93,2.44,38%,---,---,---,0.89,1.50,59%,0.60,0.89,1.68,0.29,0.18,0.06,---,1.04,2.74
Eric,Riley,C,Regular Season,(1993-94),(1998-99),186,41,"1,844",218,478,46%,0,4,0%,138,196,70%,180,299,479,60,54,132,126,303,574,,---,---,9.91,1.17,2.57,46%,0.00,0.02,0%,0.74,1.05,70%,0.97,1.61,2.58,0.32,0.29,0.71,0.68,1.63,3.09
Pat,Riley,G-F,Regular Season,(1967-68),(1975-76),528,,"8,187","1,619","3,914",41%,---,---,---,668,948,70%,79,184,855,913,112,13,---,"1,152","3,906",,---,---,15.51,3.07,7.41,41%,---,---,---,1.27,1.80,70%,0.15,0.35,1.62,1.73,0.21,0.02,---,2.18,7.40
Ron,Riley,F,Regular Season,(1972-73),(1975-76),264,,"4,852",665,"1,586",42%,---,---,---,212,307,69%,276,585,"1,368",318,106,67,---,655,"1,542",,---,---,18.38,2.52,6.01,42%,---,---,---,0.80,1.16,69%,1.05,2.22,5.18,1.20,0.40,0.25,---,2.48,5.84
Bob,Riley,F,Regular Season,(1970-71),(1970-71),7,,39,4,9,44%,---,---,---,5,9,56%,---,---,12,1,---,---,---,5,13,,---,---,5.57,0.57,1.29,44%,---,---,---,0.71,1.29,56%,---,---,1.71,0.14,---,---,---,0.71,1.86
Rich,Rinaldi,G,Regular Season,(1971-72),(1973-74),79,,853,161,410,39%,---,---,---,71,98,72%,2,5,93,73,3,1,---,72,393,,---,---,10.80,2.04,5.19,39%,---,---,---,0.90,1.24,72%,0.03,0.06,1.18,0.92,0.04,0.01,---,0.91,4.97
Mike,Riordan,G-F,Regular Season,(1968-69),(1976-77),639,,"15,890","2,773","5,894",47%,---,---,---,788,"1,059",74%,261,617,"1,830","1,524",231,35,---,"1,490","6,334",,---,---,24.87,4.34,9.22,47%,---,---,---,1.23,1.66,74%,0.41,0.97,2.86,2.38,0.36,0.05,---,2.33,9.91
Arnie,Risen,C-F,Regular Season,(1948-49),(1957-58),637,---,"12,690","2,610","6,850",38%,---,---,---,"2,413","3,451",70%,---,---,"5,011","1,058",---,---,---,"2,449","7,633",,---,---,19.92,4.10,10.75,38%,---,---,---,3.79,5.42,70%,---,---,7.87,1.66,---,---,---,3.84,11.98
Tex,Ritter,G-F,Regular Season,(1948-49),(1950-51),151,---,---,262,753,35%,---,---,---,265,393,67%,---,---,65,145,---,---,---,224,789,,---,---,---,1.74,4.99,35%,---,---,---,1.75,2.60,67%,---,---,0.43,0.96,---,---,---,1.48,5.23
Ramon,Rivas,F-C,Regular Season,(1988-89),(1988-89),28,0,91,12,31,39%,0,1,0%,16,25,64%,9,15,24,3,4,1,9,21,40,,---,---,3.25,0.43,1.11,39%,0.00,0.04,0%,0.57,0.89,64%,0.32,0.54,0.86,0.11,0.14,0.04,0.32,0.75,1.43
